Date,Close
7/6/2016,30.09
7/7/2016,30.08
7/8/2016,30.59
7/11/2016,31.2
7/12/2016,30.59
7/13/2016,29.55
7/14/2016,30.04
7/15/2016,30.04
7/18/2016,30.3
7/19/2016,30.27
7/20/2016,30.52
7/21/2016,30
7/22/2016,30.21
7/25/2016,29.85
7/26/2016,30.21
7/27/2016,30.39
7/28/2016,30.68
7/29/2016,33.41
8/1/2016,32.5
8/2/2016,32.5
8/3/2016,32.35
8/4/2016,32.6
8/5/2016,32.72
8/8/2016,32.3
8/9/2016,32.85
8/10/2016,32.85
8/11/2016,33.04
8/12/2016,32.82
8/15/2016,32.76
8/16/2016,32.78
8/17/2016,32.37
8/18/2016,33.1
8/19/2016,32.72
8/22/2016,33.01
8/23/2016,33.12
8/24/2016,33.25
8/25/2016,33.44
8/26/2016,33.18
8/29/2016,32.85
8/30/2016,32.59
8/31/2016,32.16
9/1/2016,32.14
9/2/2016,32.64
9/6/2016,33.52
9/7/2016,33.44
9/8/2016,33.12
9/9/2016,32.45
9/12/2016,32.67
9/13/2016,32.16
9/14/2016,32.22
9/15/2016,32.47
9/16/2016,31.79
9/19/2016,31.89
9/20/2016,32.46
9/21/2016,33.43
9/22/2016,33.91
9/23/2016,33.6
9/26/2016,33.46
9/27/2016,33.47
9/28/2016,33.58
9/29/2016,33.24
9/30/2016,33.21
10/3/2016,33.1
10/4/2016,32.74
10/5/2016,32.94
10/6/2016,32.72
10/7/2016,32.53
10/10/2016,32.73
10/11/2016,32.78
10/12/2016,32.7
10/13/2016,33.27
10/14/2016,32.89
10/17/2016,32.79
10/18/2016,33.5
10/19/2016,32.91
10/20/2016,32.72
10/21/2016,32.11
10/24/2016,32.14
10/25/2016,31.85
10/26/2016,31.84
10/27/2016,31.53
10/28/2016,31.49
10/31/2016,31.33
11/1/2016,30.73
11/2/2016,31.37
11/3/2016,31.4
11/4/2016,30.83
11/7/2016,30.4
11/8/2016,30.65
11/9/2016,30.21
11/10/2016,29.84
11/11/2016,30.11
11/14/2016,29.99
11/15/2016,29.61
11/16/2016,29.37
11/17/2016,29.7
11/18/2016,29.18
11/21/2016,29.76
11/22/2016,30.18
11/23/2016,30.06
11/25/2016,29.5
11/28/2016,29.57
11/29/2016,29.49
11/30/2016,29.07
12/1/2016,28.22
12/2/2016,28.06
12/5/2016,28.14
12/6/2016,28.16
12/7/2016,28.61
12/8/2016,29.16
12/9/2016,29.4
12/12/2016,29.12
12/13/2016,29.58
12/14/2016,28.82
12/15/2016,28.86
12/16/2016,28.44
12/19/2016,28.84
12/20/2016,28.74
12/21/2016,28.49
12/22/2016,28.35
12/23/2016,28.46
12/27/2016,28.38
12/28/2016,28.28
12/29/2016,28.15
12/30/2016,28.03
1/3/2017,28.29
1/4/2017,28.58
1/5/2017,28.72
1/6/2017,28.96
1/9/2017,28.82
1/10/2017,29.53
1/11/2017,30.44
1/12/2017,30.87
1/13/2017,31.02
1/17/2017,30.86
1/18/2017,30.71
1/19/2017,30.4
1/20/2017,30.5
1/23/2017,30.43
1/24/2017,30.49
1/25/2017,30.79
1/26/2017,31.12
1/27/2017,30.52
1/30/2017,29.44
1/31/2017,30.27
2/1/2017,30.24
2/2/2017,31.94
2/3/2017,31.66
2/6/2017,31.94
2/7/2017,32.11
2/8/2017,31.83
2/9/2017,31.8
2/10/2017,31.77
2/13/2017,31.68
2/14/2017,31.63
2/15/2017,31.57
2/16/2017,31.3
2/17/2017,31.34
2/21/2017,31.23
2/22/2017,31.31
2/23/2017,31.24
2/24/2017,30.93
2/27/2017,30.77
2/28/2017,30.96
3/1/2017,31.53
3/2/2017,31.41
3/3/2017,31.56
3/6/2017,31.18
3/7/2017,30.85
3/8/2017,30.74
3/9/2017,30.82
3/10/2017,31.71
3/13/2017,31.9
3/14/2017,31.46
3/15/2017,31.69
3/16/2017,31.89
3/17/2017,32.09
3/20/2017,32.13
3/21/2017,31.76
3/22/2017,31.98
3/23/2017,31.78
3/24/2017,32.21
3/27/2017,32.49
3/28/2017,32.46
3/29/2017,33.15
3/30/2017,33.48
3/31/2017,33.73
4/3/2017,33.02
4/4/2017,33.13
4/5/2017,32.76
4/6/2017,32.21
4/7/2017,32.08
4/10/2017,31.93
4/11/2017,31.85
4/12/2017,31.48
4/13/2017,31.32
4/17/2017,31.84
4/18/2017,31.68
4/19/2017,31.97
4/20/2017,32.83
4/21/2017,33.68
4/24/2017,33.82
4/25/2017,33.65
4/26/2017,33.58
4/27/2017,33.72
4/28/2017,34.52
5/1/2017,34.68
5/2/2017,34.74
5/3/2017,34.61
5/4/2017,34.59
5/5/2017,34.78
5/8/2017,35.16
5/9/2017,35.41
5/10/2017,35.6
5/11/2017,35.59
5/12/2017,35.55
5/15/2017,35.36
5/16/2017,35.47
5/17/2017,35.36
5/18/2017,35.32
5/19/2017,35.66
5/22/2017,35.53
5/23/2017,35.55
5/24/2017,36.02
5/25/2017,36.17
5/26/2017,36.68
5/30/2017,36.48
5/31/2017,36.62
6/1/2017,36.51
6/2/2017,37.75
6/5/2017,37.67
6/6/2017,38.13
6/7/2017,37.84
6/8/2017,37.89
6/9/2017,36.97
6/12/2017,37.05
6/13/2017,36.95
6/14/2017,37.06
6/15/2017,37.43
6/16/2017,37.33
6/19/2017,38.64
6/20/2017,38.16
6/21/2017,38.14
6/22/2017,38.41
6/23/2017,38.52
6/26/2017,38.68
6/27/2017,38.57
6/28/2017,38.87
6/29/2017,38.28
6/30/2017,38.19
7/3/2017,38.19
7/5/2017,37.93
7/6/2017,37.54
7/7/2017,37.79
7/10/2017,38.15
7/11/2017,38.85
7/12/2017,39.73
7/13/2017,39.8
7/14/2017,40.22
7/17/2017,40.13
7/18/2017,40.37
7/19/2017,40.56
7/20/2017,40.63
7/21/2017,40.81
7/24/2017,40.61
7/25/2017,40.18
7/26/2017,40.8
7/27/2017,41.29
7/28/2017,40.97
7/31/2017,41.07
8/1/2017,40.71
8/2/2017,39.81
8/3/2017,40.2
8/4/2017,40.34
8/7/2017,39.99
8/8/2017,40.56
8/9/2017,40.02
8/10/2017,38.88
8/11/2017,39
8/14/2017,39.15
8/15/2017,38.92
8/16/2017,39.39
8/17/2017,39
8/18/2017,38.77
8/21/2017,38.5
8/22/2017,38.71
8/23/2017,38.81
8/24/2017,38.19
8/25/2017,38.5
8/28/2017,38.48
8/29/2017,38.64
8/30/2017,39.2
8/31/2017,39.63
9/1/2017,39.72
9/5/2017,39.33
9/6/2017,39.33
9/7/2017,39.43
9/8/2017,39.93
9/11/2017,40.35
9/12/2017,40.18
9/13/2017,39.74
9/14/2017,38.36
9/15/2017,38.66
9/18/2017,38.39
9/19/2017,37.66
9/20/2017,37.76
9/21/2017,37.46
9/22/2017,37.5
9/25/2017,36.97
9/26/2017,36.46
9/27/2017,36.49
9/28/2017,36.72
9/29/2017,37.34
10/2/2017,37.32
10/3/2017,37.55
10/4/2017,37.53
10/5/2017,36.96
10/6/2017,37.08
10/9/2017,37.04
10/10/2017,36.71
10/11/2017,36.62
10/12/2017,36.32
10/13/2017,36.82
10/16/2017,37.05
10/17/2017,36.95
10/18/2017,37.46
10/19/2017,37.44
10/20/2017,37.55
10/23/2017,37.51
10/24/2017,37.7
10/25/2017,37.16
10/26/2017,37.86
10/27/2017,37.83
10/30/2017,38.85
10/31/2017,43.41
11/1/2017,43.54
11/2/2017,44.89
11/3/2017,44.81
11/6/2017,45.87
11/7/2017,46.01
11/8/2017,47.47
11/9/2017,45.89
11/10/2017,46.22
11/13/2017,46.08
11/14/2017,46.05
11/15/2017,45.24
11/16/2017,46.1
11/17/2017,46.17
11/20/2017,46.97
11/21/2017,47.11
11/22/2017,47.22
11/24/2017,47.89
11/27/2017,48.02
11/28/2017,48.3
11/29/2017,47.37
11/30/2017,46.8
12/1/2017,45.56
12/4/2017,45.78
12/5/2017,45.87
12/6/2017,44.91
12/7/2017,45.75
12/8/2017,45.79
12/11/2017,44.9
12/12/2017,44.63
12/13/2017,44.65
12/14/2017,44.45
12/15/2017,44.84
12/18/2017,45.73
12/19/2017,45.34
12/20/2017,45.03
12/21/2017,45.41
12/22/2017,45.68
12/26/2017,45.21
12/27/2017,45.26
12/28/2017,45.29
12/29/2017,44.95
1/2/2018,45.79
1/3/2018,46.3
1/4/2018,47.25
1/5/2018,48.7
1/8/2018,49
1/9/2018,49.55
1/10/2018,49.78
1/11/2018,50.28
1/12/2018,50.03
1/16/2018,48.95
1/17/2018,49.82
1/18/2018,49.17
1/19/2018,49.89
1/22/2018,50.8
1/23/2018,50.42
1/24/2018,49.15
1/25/2018,48.4
1/26/2018,49.48
1/29/2018,47.87
1/30/2018,47.35
1/31/2018,47.94
2/1/2018,49.15
2/2/2018,51.99
2/5/2018,49
2/6/2018,50.77
2/7/2018,50.12
2/8/2018,46.96
2/9/2018,47.05
2/12/2018,48.27
2/13/2018,47.22
2/14/2018,48.59
2/15/2018,48.81
2/16/2018,49.55
2/20/2018,49.41
2/21/2018,49.5
2/22/2018,49.85
2/23/2018,50.23
2/26/2018,50.92
2/27/2018,50.27
2/28/2018,50.46
3/1/2018,48.72
3/2/2018,49.68
3/5/2018,50.53
3/6/2018,50.16
3/7/2018,50.89
3/8/2018,51.28
3/9/2018,51.4
3/12/2018,50.01
3/13/2018,50.07
3/14/2018,50.95
3/15/2018,51.34
3/16/2018,50.64
3/19/2018,48.34
3/20/2018,48.83
3/21/2018,48.69
3/22/2018,48.13
3/23/2018,47.89
3/26/2018,48.67
3/27/2018,47.87
3/28/2018,48.08
3/29/2018,48.34
4/2/2018,47.99
4/3/2018,48.84
4/4/2018,48.97
4/5/2018,49.15
4/6/2018,48.44
4/9/2018,48.57
4/10/2018,49.75
4/11/2018,49.35
4/12/2018,49.14
4/13/2018,48.89
4/16/2018,49.35
4/17/2018,49.77
4/18/2018,50.46
4/19/2018,49.73
4/20/2018,49.76
4/23/2018,49.41
4/24/2018,49.39
4/25/2018,49.58
4/26/2018,50.18
4/27/2018,45.5
4/30/2018,45.83
5/1/2018,46.35
5/2/2018,46.66
5/3/2018,47.1
5/4/2018,47.57
5/7/2018,47.44
5/8/2018,47.39
5/9/2018,47.31
5/10/2018,46.88
5/11/2018,48.08
5/14/2018,48.34
5/15/2018,47.51
5/16/2018,47.82
5/17/2018,48.8
5/18/2018,48.6
5/21/2018,48.39
5/22/2018,47.06
5/23/2018,46.47
5/24/2018,46.46
5/25/2018,46.4
5/29/2018,46.6
5/30/2018,47.21
5/31/2018,47.09
6/1/2018,47.67
6/4/2018,49.08
6/5/2018,49.31
6/6/2018,50.18
6/7/2018,49.88
6/8/2018,49.96
6/11/2018,50.5
6/12/2018,49.85
6/13/2018,49.82
6/14/2018,49.13
6/15/2018,49.12
6/18/2018,48.37
6/19/2018,48.24
6/20/2018,49.56
6/21/2018,49.22
6/22/2018,50.37
6/25/2018,49.53
6/26/2018,50
6/27/2018,50.29
6/28/2018,51.7
6/29/2018,51.26
7/2/2018,50.94
7/3/2018,50.97
7/5/2018,49.06
7/6/2018,49.58
7/9/2018,51.61
7/10/2018,51.68
7/11/2018,51.96
7/12/2018,52.21
7/13/2018,53.31
7/16/2018,53.27
7/17/2018,53.63
7/18/2018,53.07
7/19/2018,52.63
7/20/2018,52.95
7/23/2018,53.15
7/24/2018,52.67
7/25/2018,53.66
7/26/2018,53.66
7/27/2018,53.4
7/30/2018,52.34
7/31/2018,54.02
8/1/2018,55
8/2/2018,55.28
8/3/2018,54.96
8/6/2018,54.46
8/7/2018,55.55
8/8/2018,54.79
8/9/2018,55.39
8/10/2018,54.65
8/13/2018,54.17
8/14/2018,54.28
8/15/2018,53.71
8/16/2018,53.84
8/17/2018,54.87
8/20/2018,54.59
8/21/2018,54.42
8/22/2018,54.62
8/23/2018,54.41
8/24/2018,54.54
8/27/2018,56.02
8/28/2018,55.77
8/29/2018,57.07
8/30/2018,56.68
8/31/2018,56.83
9/4/2018,56.18
9/5/2018,55.5
9/6/2018,56.36
9/7/2018,56.53
9/10/2018,56.68
9/11/2018,56.85
9/12/2018,57.47
9/13/2018,57.76
9/14/2018,59.44
9/17/2018,59.29
9/18/2018,59.83
9/19/2018,59
9/20/2018,59.1
9/21/2018,57
9/24/2018,56.85
9/25/2018,58.53
9/26/2018,59.45
9/27/2018,59.53
9/28/2018,60.65
10/1/2018,60.58
10/2/2018,59.82
10/3/2018,58.32
10/4/2018,57.07
10/5/2018,57.23
10/8/2018,57.07
10/9/2018,57.97
10/10/2018,56.1
10/11/2018,55.52
10/12/2018,55.51
10/15/2018,56.25
10/16/2018,57.5
10/17/2018,57.9
10/18/2018,56.03
10/19/2018,55.67
10/22/2018,55.78
10/23/2018,55.07
10/24/2018,53.08
10/25/2018,53.48
10/26/2018,52.41
10/29/2018,51
10/30/2018,53.43
10/31/2018,54.13
11/1/2018,55.66
11/2/2018,53.66
11/5/2018,53.32
11/6/2018,53.5
11/7/2018,55.26
11/8/2018,54.41
11/9/2018,54.07
11/12/2018,51.53
11/13/2018,51.24
11/14/2018,51.14
11/15/2018,51.65
11/16/2018,50.81
11/19/2018,50.99
11/20/2018,49.53
11/21/2018,50.52
11/23/2018,49.69
11/26/2018,51.02
11/27/2018,51.37
11/28/2018,52.91
11/29/2018,51.88
11/30/2018,52.82
12/3/2018,54.17
12/4/2018,51.51
12/6/2018,51.86
12/7/2018,51.13
12/10/2018,51.11
12/11/2018,51.15
12/12/2018,52.62
12/13/2018,52.2
12/14/2018,51.29
12/17/2018,50.5
12/18/2018,49.39
12/19/2018,48.76
12/20/2018,48.27
12/21/2018,46.73
12/24/2018,45.88
12/26/2018,47.62
12/27/2018,48.53
12/28/2018,48.14
12/31/2018,48.28
1/2/2019,48.72
1/3/2019,47.02
1/4/2019,49.21
1/7/2019,49.72
1/8/2019,49.89
1/9/2019,49.93
1/10/2019,49.1
1/11/2019,48.98
1/14/2019,48.42
1/15/2019,49.84
1/16/2019,49.61
1/17/2019,49.51
1/18/2019,50.18
1/22/2019,48.47
1/23/2019,48.46
1/24/2019,48.37
1/25/2019,48.76
1/28/2019,48.83
1/29/2019,48.78
1/30/2019,49.2
1/31/2019,50.12
2/1/2019,46.15
2/4/2019,46.29
2/5/2019,45.86
2/6/2019,44.22
2/7/2019,43.06
2/8/2019,44.29
2/11/2019,44.59
2/12/2019,44.28
2/13/2019,45.06
2/14/2019,45.12
2/15/2019,45.79
2/19/2019,46.22
2/20/2019,46.88
2/21/2019,47.64
2/22/2019,47.89
2/25/2019,48.46
2/26/2019,48.19
2/27/2019,48.43
2/28/2019,47.99
3/1/2019,47.89
3/4/2019,47.62
3/5/2019,47.66
3/6/2019,47.53
3/7/2019,46.4
3/8/2019,45.95
3/11/2019,46.1
3/12/2019,46.31
3/13/2019,46.66
3/14/2019,46.12
3/15/2019,46.25
3/18/2019,46.08
3/19/2019,45.53
3/20/2019,43.28
3/21/2019,44.01
3/22/2019,42.03
3/25/2019,42.15
3/26/2019,42.73
3/27/2019,42.79
3/28/2019,42.4
3/29/2019,42.24
4/1/2019,42.98
4/2/2019,42.17
4/3/2019,42.39
4/4/2019,42.52
4/5/2019,43.07
4/8/2019,46.6
4/9/2019,46.19
4/10/2019,46.08
4/11/2019,46.25
4/12/2019,46.99
4/15/2019,47.31
4/16/2019,47.95
4/17/2019,47.74
4/18/2019,47.86
4/22/2019,47.61
4/23/2019,48.3
4/24/2019,46.46
4/25/2019,46.66
4/26/2019,50.24
4/29/2019,50.25
4/30/2019,50.37
5/1/2019,51.36
5/2/2019,51.46
5/3/2019,52.25
5/6/2019,51.22
5/7/2019,48.89
5/8/2019,48.75
5/9/2019,48.75
5/10/2019,49.7
5/13/2019,48.03
5/14/2019,48.44
5/15/2019,49.94
5/16/2019,52
5/17/2019,52.61
5/20/2019,52.2
5/21/2019,51.03
5/22/2019,50.49
5/23/2019,48.34
5/24/2019,48.98
5/28/2019,49.17
5/29/2019,48.23
5/30/2019,48.53
5/31/2019,48
6/3/2019,47.78
6/4/2019,48.13
6/5/2019,48.11
6/6/2019,47.45
6/7/2019,48.86
6/10/2019,49.62
6/11/2019,49.82
6/12/2019,49.38
6/13/2019,49.67
6/14/2019,51.33
6/17/2019,52.1
6/18/2019,52.21
6/19/2019,52.98
6/20/2019,53.94
6/21/2019,53.24
6/24/2019,53.15
6/25/2019,52.55
6/26/2019,52.46
6/27/2019,52.7
6/28/2019,52.39
7/1/2019,53.71
7/2/2019,53.68
7/3/2019,54.72
7/5/2019,55.03
7/8/2019,54.66
7/9/2019,54.38
7/10/2019,54.78
7/11/2019,55.02
7/12/2019,55.77
7/15/2019,55.77
7/16/2019,53.99
7/17/2019,54.37
7/18/2019,53.95
7/19/2019,53.66
7/22/2019,53.8
7/23/2019,54.41
7/24/2019,55.1
7/25/2019,54.55
7/26/2019,54.8
7/29/2019,54.7
7/30/2019,57.1
7/31/2019,56.86
8/1/2019,55.85
8/2/2019,54.98
8/5/2019,53.65
8/6/2019,55
8/7/2019,55.53
8/8/2019,56.25
8/9/2019,56.11
8/12/2019,55.6
8/13/2019,56.26
8/14/2019,54.32
8/15/2019,55.02
8/16/2019,55.73
8/19/2019,55.72
8/20/2019,55.66
8/21/2019,56.65
8/22/2019,54.77
8/23/2019,53.84
8/26/2019,55.52
8/27/2019,55.51
8/28/2019,55.61
8/29/2019,56.72
8/30/2019,56.91
9/3/2019,57.43
9/4/2019,58.51
9/5/2019,59.54
9/6/2019,59.2
9/9/2019,59.98
9/10/2019,59.24
9/11/2019,60.05
9/12/2019,60.25
9/13/2019,60.36
9/16/2019,59.97
9/17/2019,59.94
9/18/2019,59.11
9/19/2019,59.35
9/20/2019,59.12
9/23/2019,59.12
9/24/2019,58.91
9/25/2019,60.58
9/26/2019,59.41
9/27/2019,58.77
9/30/2019,59.13
10/1/2019,57.96
10/2/2019,56.83
10/3/2019,57.93
10/4/2019,58.75
10/7/2019,58.07
10/8/2019,57.21
10/9/2019,57.87
10/10/2019,57.33
10/11/2019,58.14
10/14/2019,57.84
10/15/2019,58.5
10/16/2019,58.92
10/17/2019,60.04
10/18/2019,59.21
10/21/2019,59.18
10/22/2019,58.97
10/23/2019,58.58
10/24/2019,58.63
10/25/2019,58.51
10/28/2019,59.06
10/29/2019,59.24
10/30/2019,61.07
10/31/2019,60.83
11/1/2019,61.44
11/4/2019,61.57
11/5/2019,61.44
11/6/2019,60.73
11/7/2019,60.4
11/8/2019,60.41
11/11/2019,61.72
11/12/2019,62.13
11/13/2019,62.29
11/14/2019,61.85
11/15/2019,62.06
11/18/2019,62.44
11/19/2019,61.9
11/20/2019,61.48
11/21/2019,61.52
11/22/2019,61.2
11/25/2019,61.8
11/26/2019,63.15
11/27/2019,63.72
11/29/2019,63.48
12/2/2019,63.28
12/3/2019,64.59
12/4/2019,65.29
12/5/2019,65.2
12/6/2019,65.29
12/9/2019,65.93
12/10/2019,66.31
12/11/2019,66.54
12/12/2019,67.32
12/13/2019,67.57
12/16/2019,68.25
12/17/2019,67.74
12/18/2019,67.7
12/19/2019,67.88
12/20/2019,67.9
12/23/2019,68.08
12/24/2019,67.76
12/26/2019,68.02
12/27/2019,67.78
12/30/2019,67.72
